,Capa do livro,Título,Páginas,Horas,Gênero,Faixa etária,Formato,Editora,Idioma,Série ou único?,Por que li?,Origem do livro?,Como conheci?,Nome,País,Cor,Se identifica como...,Primeira vez lendo autore,Protagonista LGBTQ+,Diversidade etnica/racial,#OwnVoices?,NOTA,LIDO
,https://m.media-amazon.com/images/I/71ttxj7KaEL._SY466_.jpg,A casa na Rua Mango,,01:27:00,Romance,Adulto,Audiolivro,Dublinense,Português,Livro único,Diversão,Assinatura digital,Outro,Sandra Cisneros,EUA,Branco,Feminino,TRUE,FALSE,FALSE,FALSE,"3,5",LIDO
,https://m.media-amazon.com/images/I/61BHwMFD9iL._SY445_SX342_ML2_.jpg,"O monge endinheirado, a mulher do bandido e outras histórias de um rio indiano",208,0:00:00,Conto,Adulto,Paperback,Companhia de Bolso,Português,Livro único,Desafio LPM,Estava na estante,Outro,Gita Mehta,índia,Asiático,Feminino,TRUE,FALSE,TRUE,FALSE,"4,5",LIDO
,,Locklands:Os abismos esquecidos,704,0:00:00,Ficção Científica,Adulto,Capa dura,Morro Branco,Português,Trilogia,Diversão,Estava na estante,Booktube,Robert Jackson Bennett,EUA,Branco,Masculino,FALSE,TRUE,FALSE,FALSE,,NÃO LIDO
,https://m.media-amazon.com/images/I/51UnrBFQf5L._SY445_SX342_ML2_.jpg,Rainhas da Noite - As travestis que tinham São Paulo a seus pés,,4:34:00,Não Ficção,Adulto,Audiolivro,Storyside,Português,Livro único,Desafio LPB,Assinatura digital,Outro,Chico Felitti,Brasil,Branco,Feminino,TRUE,TRUE,TRUE,FALSE,"4,5",LIDO
,https://static.skeelo.com/remote/320/480/100/https://skoob.s3.amazonaws.com/livros/12196723/GALATEIA_173596773812196723SK-V11735967738B.jpg,Galateia - Um conto,,0:54:00,Conto,Adulto,Audiolivro,Planeta Minotauro,Português,Livro único,Diversão,Assinatura digital,Outro,Madeline Miller,EUA,Branco,Feminino,TRUE,FALSE,FALSE,FALSE,"2,5",LIDO
,https://m.media-amazon.com/images/I/515qsaIm8uL._SY445_SX342_ML2_.jpg,Eu que nunca conheci os homens,192,0:00:00,Ficção,Adulto,Brochura,Dublinense,Português,Livro único,Desafio LPM,Ganhei de presente,Booktube,Jacqueline Harpma,Bélgica,Branco,Feminino,TRUE,FALSE,FALSE,FALSE,"4,5",LIDO
,https://m.media-amazon.com/images/I/41pOFwJgAIL._SY445_SX342_ML2_.jpg,Um belo diploma,260,0:00:00,Autobiografia,Adulto,Brochura,Nós,Português,Livro único,Desafio LPM,Estava na estante,Outro,Scholastique Mukasonga,Ruanda,Negro,Feminino,TRUE,FALSE,TRUE,TRUE,"4,5",LIDO
,,Mika na vida real,368,0:00:00,Romance,Adulto,Brochura,Intrínseca,Português,Livro único,Diversão,Estava na estante,Outro,Emiko Jean,,Asiático,Feminino,TRUE,FALSE,FALSE,FALSE,,NÃO LIDO
,https://m.media-amazon.com/images/I/81E-X4rpSdL._SY385_.jpg,Talvez você deva conversar com alguém ,,09:28:00,Não Ficção,Adulto,Audiolivro,Vestígio,Português,Livro único,Diversão,Assinatura digital,Booktube,Lori Gottlieb,EUA,Branco,Feminino,TRUE,FALSE,FALSE,FALSE,4,LIDO
,https://m.media-amazon.com/images/I/71cPWfWtmaL._SY466_.jpg,Ring Shout: Grito de Liberdade,176,0:00:00,Fantasia,Adulto,Capa dura,Darkside,Português,Livro único,Diversão,Ganhei de presente,Booktube,P. Djèlí Clark,EUA,Negro,Masculino,TRUE,TRUE,TRUE,FALSE,4,LIDO
